iter	Logloss
0	0.6555835617
1	0.6272363911
2	0.6047886901
3	0.5867996911
4	0.5727687917
5	0.5614071701
6	0.5528762393
7	0.5461651706
8	0.5408461037
9	0.5362879356
10	0.5327715155
11	0.5303315161
12	0.5282012235
13	0.5263194185
14	0.5249074731
15	0.5236063655
16	0.5225952357
17	0.5218199622
18	0.521142272
19	0.5206049093
20	0.5200751899
21	0.5197353864
22	0.5193670067
23	0.519161448
24	0.5189819872
25	0.51869753
26	0.5185461491
27	0.5184303546
28	0.5183299516
29	0.5182577311
30	0.5182018849
31	0.5180715542
32	0.5179389922
33	0.5178577988
34	0.5178098469
35	0.5177644689
36	0.5177001806
37	0.5176231672
38	0.5175846106
39	0.51754393
40	0.5175133082
41	0.5174679416
42	0.5174361593
43	0.5173993106
44	0.5173675854
45	0.5173315975
46	0.5172927993
47	0.5172520766
48	0.5172144386
49	0.5171772795
50	0.5171480478
51	0.5171157481
52	0.5170739219
53	0.5170448311
54	0.5170155867
55	0.5169839751
56	0.5169641511
57	0.5169359555
58	0.5168965179
59	0.516867837
60	0.516849087
61	0.5168050523
62	0.5167905369
63	0.5167658212
64	0.5167407265
65	0.5167192989
66	0.5167020114
67	0.5166739156
68	0.5166547348
69	0.5166163747
70	0.5165895113
71	0.5165700968
72	0.5165519075
73	0.516521294
74	0.5165047344
75	0.5164883272
76	0.516459698
77	0.5164200734
78	0.5163919222
79	0.5163713779
80	0.5163475805
81	0.5163285887
82	0.5162970293
83	0.516281408
84	0.5162622753
85	0.5162390194
86	0.5162183726
87	0.5162039608
88	0.5161886186
89	0.5161459082
90	0.5161323267
91	0.5160915127
92	0.5160643593
93	0.5160425418
94	0.5160260062
95	0.516000793
96	0.5159889474
97	0.5159734223
98	0.5159619561
99	0.5159329413
100	0.5159100598
101	0.5158954806
102	0.5158726659
103	0.5158568385
104	0.5158340829
105	0.5158177783
106	0.515787197
107	0.5157711628
108	0.5157537486
109	0.5157290726
110	0.515696757
111	0.5156698299
112	0.515631778
113	0.5156122878
114	0.5155974943
115	0.515581257
116	0.5155507032
117	0.5155204869
118	0.5155062271
119	0.5154922331
120	0.5154711803
121	0.5154320723
122	0.5153880254
123	0.5153655644
124	0.5153443244
125	0.5152863032
126	0.5152696446
127	0.5152334121
128	0.5152052005
129	0.5151902516
130	0.5151579514
131	0.5151371646
132	0.5151085995
133	0.5150881744
134	0.5150631557
135	0.5150410484
136	0.5150300828
137	0.514991365
138	0.5149712983
139	0.5149485761
140	0.5149249975
141	0.5149011971
142	0.5148634616
143	0.5148225682
144	0.5148087091
145	0.5147875125
146	0.5147626136
147	0.5147289221
148	0.5147178188
149	0.5146918104
150	0.514663082
151	0.5146458347
152	0.5146047465
153	0.5145677138
154	0.5145381186
155	0.5145104005
156	0.5144896846
157	0.5144585345
158	0.5144351731
159	0.5144031437
160	0.5143717883
161	0.5143553646
162	0.5143405151
163	0.5143209571
164	0.5142965556
165	0.5142794953
166	0.5142484994
167	0.5142279006
168	0.5141946273
169	0.514161298
170	0.5141281792
171	0.5141089912
172	0.5140901138
173	0.5140626146
174	0.514009921
175	0.5139768779
176	0.5139315463
177	0.513911372
178	0.5138985824
179	0.5138706453
180	0.5138536049
181	0.5138268928
182	0.5137979254
183	0.5137508484
184	0.5137195988
185	0.5136834615
186	0.5136627343
187	0.5136364596
188	0.5136256668
189	0.5135940869
190	0.5135715543
191	0.5135389923
192	0.513519001
193	0.5134953593
194	0.5134708786
195	0.5134454505
196	0.5134030301
197	0.5133843712
198	0.5133559048
199	0.5133293919
200	0.5132977406
201	0.5132755977
202	0.5132484119
203	0.5132271772
204	0.5131980948
205	0.5131751925
206	0.5131480115
207	0.5131215261
208	0.5131039128
209	0.5130761944
210	0.5130428891
211	0.5130107324
212	0.5129810377
213	0.5129520587
214	0.5129194569
215	0.5129088151
216	0.5128890782
217	0.5128707251
218	0.5128517555
219	0.5128272897
220	0.5128089565
221	0.512779533
222	0.512758635
223	0.5127317559
224	0.5127127866
225	0.5126898996
226	0.512676096
227	0.5126415933
228	0.5126124156
229	0.5125950013
230	0.5125753043
231	0.5125533803
232	0.5125289585
233	0.5125109279
234	0.5124831185
235	0.51245165
236	0.5124274954
237	0.5124032055
238	0.5123878233
239	0.5123720753
240	0.5123508513
241	0.5123332461
242	0.5123069034
243	0.5122921653
244	0.5122726072
245	0.5122501225
246	0.5122173733
247	0.5121846801
248	0.512166343
249	0.5121453536
250	0.5121247181
251	0.5121004478
252	0.5120788379
253	0.5120511398
254	0.5120355104
255	0.5120236081
256	0.512000495
257	0.5119886163
258	0.511966883
259	0.5119433326
260	0.5119147395
261	0.5118971418
262	0.5118751148
263	0.5118481322
264	0.5118166841
265	0.5118005661
266	0.5117760809
267	0.5117505258
268	0.5117204184
269	0.5117017035
270	0.5116764471
271	0.5116546265
272	0.5116421635
273	0.511611685
274	0.5115907271
275	0.5115763195
276	0.511548832
277	0.511525929
278	0.511517518
279	0.5115001594
280	0.5114693032
281	0.5114552293
282	0.5114371146
283	0.5114154728
284	0.5113935923
285	0.5113809816
286	0.5113677904
287	0.5113455483
288	0.5113220414
289	0.5113093674
290	0.5112712929
291	0.5112487208
292	0.5112244588
293	0.511208094
294	0.5111831993
295	0.5111636216
296	0.511147269
297	0.511125405
298	0.5110884288
299	0.5110636019
300	0.5110459129
301	0.5110200277
302	0.5109977257
303	0.5109652749
304	0.5109495825
305	0.5109359858
306	0.5109224566
307	0.5109013749
308	0.510886005
309	0.5108605216
310	0.5108414568
311	0.5108210638
312	0.510804584
313	0.510774563
314	0.5107567124
315	0.5107387889
316	0.5107210245
317	0.5106993511
318	0.5106838216
319	0.5106726867
320	0.5106441215
321	0.5106149635
322	0.5105840318
323	0.5105703556
324	0.5105516204
325	0.5105290006
326	0.5105120051
327	0.5104916597
328	0.510467131
329	0.5104461217
330	0.5104215888
331	0.5104007342
332	0.5103734013
333	0.5103418771
334	0.5102961759
335	0.5102732426
336	0.5102589657
337	0.5102343135
