iter	Passed	Remaining
0	184	184308
1	210	104792
2	232	77329
3	253	63136
4	273	54467
5	297	49273
6	316	44933
7	335	41561
8	353	38958
9	374	37029
10	393	35385
11	412	33930
12	431	32739
13	454	32031
14	476	31284
15	498	30669
16	518	29977
17	537	29302
18	555	28667
19	575	28216
20	595	27761
21	614	27324
22	634	26933
23	651	26496
24	670	26153
25	689	25842
26	708	25541
27	729	25309
28	747	25017
29	767	24801
30	786	24599
31	805	24380
32	825	24202
33	845	24026
34	864	23825
35	883	23651
36	902	23494
37	921	23323
38	943	23254
39	966	23184
40	986	23069
41	1004	22920
42	1023	22780
43	1041	22639
44	1062	22544
45	1082	22443
46	1102	22346
47	1121	22236
48	1142	22164
49	1159	22033
50	1178	21933
51	1198	21844
52	1215	21721
53	1235	21638
54	1259	21643
55	1287	21704
56	1315	21765
57	1357	22055
58	1395	22260
59	1430	22410
60	1463	22522
61	1501	22719
62	1530	22759
63	1557	22781
64	1601	23034
65	1629	23060
66	1666	23210
67	1695	23242
68	1722	23242
69	1751	23263
70	1991	26055
71	2036	26249
72	2074	26341
73	2103	26324
74	2133	26307
75	2166	26338
76	2192	26287
77	2215	26193
78	2240	26124
79	2264	26046
80	2294	26031
81	2323	26006
82	2350	25973
83	2375	25906
84	2401	25850
85	2422	25744
86	2444	25655
87	2468	25585
88	2492	25516
89	2515	25435
90	2535	25326
91	2556	25234
92	2582	25182
93	2603	25094
94	2628	25043
95	2650	24955
96	2670	24864
97	2690	24760
98	2710	24664
99	2730	24573
100	2750	24480
101	2768	24373
102	2788	24282
103	2809	24206
104	2831	24137
105	2851	24048
106	2869	23947
107	2889	23863
108	2910	23791
109	2934	23742
110	2958	23691
111	2978	23618
112	2998	23540
113	3016	23440
114	3035	23361
115	3056	23293
116	3080	23246
117	3101	23183
118	3120	23105
119	3138	23016
120	3157	22938
121	3175	22854
122	3196	22793
123	3216	22721
124	3236	22653
125	3255	22583
126	3274	22507
127	3293	22438
128	3316	22389
129	3341	22360
130	3367	22337
131	3390	22298
132	3416	22271
133	3439	22225
